Time,TotalUsage,MemoryUsage,SystemCpuUsage,MemoryPercentage
2025-03-03T21:07:53.057596,0,0,0,NaN
2025-03-03T21:07:54.055763,0,0,0,NaN
2025-03-03T21:07:55.059937,0,0,0,NaN
2025-03-03T21:07:56.058913,0,0,0,NaN
